specID,Photo#,Cat#,Taxon,Site,Zone,Period,group,GLl,Bd,Dl,Dl_GLl,Bd_Dl
156,15.tif,NA,sheep,Cyprus,Cyprus,IA2,Cyprus,NA,NA,NA,NA,NA
157,16.tif,NA,sheep,Cyprus,Cyprus,IA2,Cyprus,NA,NA,NA,NA,NA
158,17.tif,NA,sheep,Cyprus,Cyprus,IA2,Cyprus,NA,NA,NA,NA,NA
159,18.tif,NA,sheep,Cyprus,Cyprus,IA2,Cyprus,NA,NA,NA,NA,NA
160,19.tif,NA,sheep,Cyprus,Cyprus,IA2,Cyprus,NA,NA,NA,NA,NA
161,20.tif,NA,sheep,Cyprus,Cyprus,IA2,Cyprus,NA,NA,NA,NA,NA
162,21.tif,NA,sheep,Cyprus,Cyprus,IA2,Cyprus,NA,NA,NA,NA,NA
163,22.tif,NA,sheep,Cyprus,Cyprus,IA2,Cyprus,NA,NA,NA,NA,NA
164,23.tif,NA,sheep,Cyprus,Cyprus,IA2,Cyprus,NA,NA,NA,NA,NA
165,24.tif,NA,sheep,Cyprus,Cyprus,IA2,Cyprus,NA,NA,NA,NA,NA
166,25.tif,NA,sheep,Cyprus,Cyprus,IA2,Cyprus,NA,NA,NA,NA,NA
